RMS_f0,RMS_f1,RMS_f2,RMS_f3,RMS_f4,RMS_f5,RMS_f6,RMS_f7,RMS_f8,RMS_f9,MAV_f0,MAV_f1,MAV_f2,MAV_f3,MAV_f4,MAV_f5,MAV_f6,MAV_f7,MAV_f8,MAV_f9,ZC_f0,ZC_f1,ZC_f2,ZC_f3,ZC_f4,ZC_f5,ZC_f6,ZC_f7,ZC_f8,ZC_f9,SSC_f0,SSC_f1,SSC_f2,SSC_f3,SSC_f4,SSC_f5,SSC_f6,SSC_f7,SSC_f8,SSC_f9,restimulus
0.0027533164883213885,0.013451224722067954,0.0063730995767409485,0.0024291951153076175,0.003913054666081741,0.004714694987996315,0.014656847842517452,0.01712409978134955,0.00071170163487764,0.060395635568310735,0.0026385130054317725,0.012437321080411479,0.005908651108958411,0.002428699556118917,0.003202466807990014,0.003646119088499952,0.01345934789442734,0.015814338514881995,0.0005687252576824334,0.05567102743021092,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.010779804386548884,0.062387083581567034,0.038600223810857356,0.0021594337255680524,0.014761021663387398,0.01873740266812209,0.08829226391116572,0.09400638444383626,0.0012462323756897368,0.26412992333324614,0.007680679187514072,0.04586382599034582,0.028949259677254688,0.0021490503288673743,0.013167090604330073,0.016642585668001267,0.06746383003674566,0.07067336737902698,0.0007946711714917672,0.19472024111038327,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.051170181925879,0.22938105208162163,0.1320920188432663,0.0015079482557961298,0.03167694375042522,0.040670126754461106,0.29159527437522026,0.31918655002883384,0.010702722953075092,0.9761816386769704,0.044406231138205944,0.20764857112212282,0.12079740122185431,0.0014613380977423558,0.030716076132678332,0.03936475046643562,0.2672202104982044,0.2919672801091886,0.008482916498510818,0.8814045343985849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.13004532142164935,0.4228983390591506,0.2361117499288556,0.0010365841563602014,0.0388301075936795,0.057068330033944153,0.6233332073865788,0.6235574355438954,0.036250526538380526,2.053414221356982,0.12293065586125071,0.41639105295995693,0.23285728447948098,0.0010076104325678961,0.0388067133665621,0.05682709132358761,0.5991151643519673,0.6081607133166674,0.032978132644698545,1.9869227837114836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2389826727312154,0.48079234168564705,0.2755698067739491,0.00449218531213227,0.038947912948562174,0.07729951856349311,1.0727402298864204,0.8557980392622282,0.08140936365861415,3.102615054824344,0.23314786102235177,0.48050169559642286,0.2755200289224114,0.0036837342813755684,0.03885815097565152,0.076097029338531,1.0509378054887843,0.8528353194268998,0.07781268023855574,3.075242847264693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3730528444320916,0.444390761893075,0.2605502031215939,0.016287313382880694,0.05504804831406801,0.13865879922729715,1.5269131683940957,0.904106617263902,0.14277909527761143,3.753019710245506,0.3673245727626666,0.4441635683583653,0.26034416771659674,0.014620253244865765,0.05394317824198953,0.13338297801150453,1.5163468819377284,0.9036208690031972,0.13981778178847076,3.749114151681291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.5597774570242284,0.516549457682964,0.2547232095838244,0.03698834438477265,0.08275791198067108,0.2529908036067988,1.8142752677896214,0.7832420342773337,0.20147255553305787,3.7230367435252356,0.5516064346099401,0.5118930937695417,0.2546360436473733,0.0354182566192,0.08186707446553425,0.24621984666455973,1.8125592616750743,0.7794903907099812,0.20022158788092848,3.718337939080272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7690002495048793,0.6846352654948705,0.27031357122596456,0.06388742879408131,0.09643525154231027,0.36650795488032395,1.8886239123891584,0.6140476233315003,0.23471944690353652,3.1440338944586825,0.7646312987641758,0.6813130628328483,0.27025495877551314,0.06261044427324344,0.09640123509791051,0.3642338318105066,1.888577726312019,0.6105464457130083,0.23459135473906823,3.1294858051215937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.873591026172066,0.7426179789274148,0.2656190170235041,0.08806292715159013,0.08771565400872522,0.41901312227338794,1.8378923129936946,0.5064239724299765,0.23381142037469307,2.5803126529912883,0.8734104393774108,0.7423836981370007,0.2654975830590607,0.08765620141805536,0.08747505718403992,0.41890487197271603,1.8375885340582163,0.505735548129205,0.23369937538943195,2.574838637739393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.8387316601046527,0.650925224760723,0.2437009209029112,0.10940611734700029,0.07324811387582882,0.40644906934198843,1.7275503861353718,0.4716527310290155,0.21364211821792853,2.3502654244410506,0.8375172096280025,0.6475119938538002,0.24344282822287827,0.10871151711169844,0.07299425583333193,0.4058971928082278,1.7262216159982697,0.4715989440418067,0.21342956284207748,2.349803497208602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.6886298864515019,0.4774797977867607,0.2100481542062926,0.16451817970521337,0.056949227165283334,0.3276626541465062,1.514645995931275,0.4583756291185555,0.19784449031623152,2.240283641427445,0.6831426901565908,0.4700340444790056,0.20918011168898334,0.16094804169821597,0.056314842810012845,0.32391148267805175,1.5098920447446824,0.45835532568083753,0.1978077733998465,2.2396300003839893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.49207143163695405,0.29865362751259406,0.1577905334022463,0.25202962198872136,0.03779699075840338,0.21155101844378485,1.2039810242977995,0.45813400347212674,0.19750589549412473,2.0732287490881007,0.4854811504998721,0.2904290027476532,0.155501060260686,0.24893880818537142,0.0369876351238767,0.20543643780528292,1.1946083698581722,0.458104723240515,0.19748912877213726,2.0709594819788246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
