RMS_ch1,RMS_ch2,RMS_ch3,RMS_ch4,RMS_ch5,RMS_ch6,RMS_ch7,RMS_ch8,RMS_ch9,RMS_ch10,restimulus
0.002970834556655,0.0020107339430471,0.0022353212555863,0.002222259937911,0.0041594238992923,0.0113754749782567,0.1681348051080637,0.4242736370556734,0.0087022429258896,0.1786650140675554,0.0
0.0026823213995409,0.0024939869199491,0.0030428432819565,0.0024525190927692,0.0146386106319949,0.1332691914865949,0.0513549806999223,0.0554629849583411,0.0351535614370966,0.5314502337271332,0.0
0.0023992089235759,0.0023999568291009,0.0024868029967353,0.0023983854932382,0.0044154784409602,0.1335372942196902,0.0062140954306143,0.0023983080884943,0.0159824648954656,0.0086837697896925,0.0
0.9727791212546928,0.0249170531987856,0.0029119704586047,0.002560145789059,0.0026880421021003,0.0179926553783968,0.0846689245527698,0.4664181366974133,0.0024004476259076,0.0940621274302644,0.0
0.2458271782717957,0.0099479784022096,0.0049824639979846,0.0036901650104451,0.0041209798600933,0.0034169716368383,0.0330552306519282,0.0976245496277205,0.0035204169510383,0.0745885875162167,0.0
0.0024767867202247,0.0109358327012127,0.0109024521614824,0.0024923733835689,0.014288590523821,0.0916210102062664,0.6307797893984792,0.2235734754917084,0.0067631854078277,0.2800129207473522,0.0
0.0026401502025502,0.0480709402817289,0.0028728892232886,0.0141293343866125,0.0020599165644114,0.0052263790537434,0.1898669674302699,0.3805861944981576,0.0070450851563186,0.1633821499629433,0.0
0.0202585960925506,0.0208517532083435,0.0012032789690997,0.0063623160591943,0.0597333719504564,0.4666345305074605,0.0770823751719031,0.2679201759029833,0.0038335447650242,0.1387721933519929,0.0
0.0053424379235438,0.0035848476269403,0.004525612898666,0.003428229804138,0.003517298814432,0.0348087802226408,0.1092109830664836,0.0684822500680425,0.0035176635149632,0.0194350069516785,0.0
0.0025524942869175,0.0025192758254225,0.0025085950237395,0.0022589404526593,0.0012828810456353,0.034431878962446,0.1266009713678256,0.1197339983430448,0.0027331744865934,0.0353133482290233,0.0
0.0917685646352073,0.0024008414364073,0.4948791181342689,0.616737300242322,0.0110318226640992,0.0771890681640913,1.1314331674517626,0.414385962151934,0.3884532611467972,1.0791148570089042,0.0
0.0089468896099941,0.0076835382379095,0.0016886699278918,0.0021991086833037,0.0024183729791701,0.0189377642807315,0.0601376572201107,0.2206231988171762,0.0012615786233483,0.033618561607741,0.0
0.0008037820369321,0.009335262864824,0.0025236093657333,0.0025147754454385,0.0023826628834188,0.0153962497105146,0.1140500229275508,0.1161686741249688,0.0024719406224933,0.2435913494015774,0.0
