RMS_f0,RMS_f1,RMS_f2,RMS_f3,RMS_f4,RMS_f5,RMS_f6,RMS_f7,RMS_f8,RMS_f9,restimulus
0.2142030729235807,0.027382441899784,0.0701395797177252,0.0023091047418435,0.0025809275434969,0.0055995114320091,0.1466185498308835,0.5265022840019009,0.0025328601093353,0.3118127164377382,-1.0
0.4776802470615925,0.1014076274276258,0.0032432180356745,0.0024138460948187,0.0025257089405744,0.0023907936237559,0.1434623656044718,0.0359360250881806,0.0023896129439664,0.00211453684775,-1.0
0.1848848942068941,0.0336243710015851,0.0082796647072101,0.0023895074007625,0.0023743967549075,0.0023536364096361,0.0696495261383257,0.0984421783498912,0.0016961843011778,0.0441871544630504,-1.0
0.3330595162081287,0.111075750860438,0.0024099063070498,0.0024099926381061,0.0024439902819074,0.002383662743477,0.0967186632021198,0.1245949078568336,0.0024082577616155,0.0188307689233707,-1.0
0.0691065459833325,0.001815528401473,0.0091311492117216,0.0023349777999987,0.0024942008646715,0.003507427466436,0.0943127024609611,0.2476411256801745,0.001772148069605,0.1367241901608194,-1.0
0.3177573221008441,0.0819019546396533,0.0033658867544935,0.002400920687134,0.0024044843176759,0.0033410132511771,0.1123103671918975,0.0457041766417488,0.0024341954145465,0.0165441246161766,-1.0
0.3111558867123078,0.0763294920280162,0.0029492333504352,0.0024150728016439,0.0024240389080057,0.0026021469075077,0.1308731261145487,0.0260503565026704,0.0023997630475594,0.0045230924887462,-1.0
0.0085540834107451,0.0011541233206601,0.0062953211849869,0.0024022230757062,0.0023960612238795,0.0025350441092581,0.1118788837726477,0.1905589576201082,0.0023873906507461,0.0972621634596634,-1.0
0.3410397011166741,0.1055191466449886,0.0023707917789081,0.002414376750628,0.0024214984475971,0.0023825082542138,0.1444128585167398,0.0838609661235702,0.0024023305601481,0.0351799338852912,-1.0
0.3426175472249047,0.1001915842612275,0.0027457825787253,0.0024082197206381,0.0024447629355224,0.00196628037041,0.1702616616443661,0.047355709451137,0.00240133259707,0.0077643939592986,-1.0
0.0342116979523578,0.0009360865042279,0.0095258449587869,0.002459387605284,0.0024060016697837,0.0024656821947163,0.0379257770624329,0.0990443176442279,0.0020972194982236,0.0343612697313534,-1.0
0.0493193457405071,0.0046969420979367,0.0452590192643354,0.0024829374109005,0.0024369973376698,0.0027344661398625,0.0959139690585717,0.3457452839091861,0.0026456445291203,0.1632839151954397,-1.0
0.1709671353583999,0.0179275808831336,0.0024101790367611,0.0024461021190358,0.0024485013980535,0.0023812632616886,0.0261781835497744,0.0255390986558083,0.0023973265020292,0.0023865713868066,-1.0
0.1231465313481165,0.0093914892124853,0.0024066108109537,0.0024407732745222,0.0024255551798518,0.0023943128683382,0.0227149166525621,0.0248078581147117,0.002398505679961,0.0024720142605737,-1.0
