MAV_f0,MAV_f1,MAV_f2,MAV_f3,MAV_f4,MAV_f5,MAV_f6,MAV_f7,MAV_f8,MAV_f9,restimulus
0.2076306892314508,0.0244458419529792,0.0570553198434555,0.0023086713435215,0.0025690683004304,0.0054776662478499,0.1404090455633263,0.486566937888052,0.0024650475460455,0.2778286780125123,-1.0
0.4768655740067443,0.1009597234736562,0.003243036526742,0.0024138027507257,0.0025255762893386,0.0023907876188679,0.14313317983681,0.0358887577166844,0.0023893861111511,0.0020493984169295,-1.0
0.1848325381007795,0.0328379505217404,0.007675870342536,0.0023894951472342,0.0023743013044274,0.0023535301682477,0.068608081783632,0.078522218261471,0.0016925093756269,0.0322144887412399,-1.0
0.3321064640100195,0.1072946535185697,0.0024099048944054,0.0024099851132079,0.0024439819198367,0.0023836255259277,0.0914493134163101,0.1203811205459438,0.002408256400016,0.0180093328222958,-1.0
0.0687747601656016,0.0013293286192741,0.0084243197678967,0.0023346723241914,0.002494174176957,0.0034069042612834,0.0871560025348626,0.2186473754502423,0.0017641717008168,0.1146992693166879,-1.0
0.3169822884310965,0.0816021614488168,0.003361997470216,0.0024009187237736,0.002404477913328,0.0033145347260161,0.1103260497135937,0.0442731605661336,0.0024340731606637,0.0148468871700146,-1.0
0.3104700840410156,0.0757397748020989,0.0029434066707295,0.0024150535988473,0.0024240123507061,0.002594330115454,0.1307378843235927,0.0255477618181857,0.002399753109467,0.0036817994128763,-1.0
0.0084221817098491,0.0010223935160927,0.0061287580936168,0.0024022227587216,0.0023960609763248,0.002528308801754,0.1070817333925979,0.163324640778663,0.0023873422558146,0.0817868037061452,-1.0
0.3398029893074609,0.1047047016921621,0.0023416174987367,0.0024143760059531,0.0024214729219462,0.0023342396213794,0.1420780673904864,0.0817608605229732,0.0024023305404836,0.0307727886167485,-1.0
0.341651476300668,0.098784854079245,0.0027454356128695,0.0024082169107445,0.0024447504219894,0.001964934132104,0.1701976635243945,0.0458114535990646,0.0024013325230012,0.0054857416537038,-1.0
0.0341996853239478,0.0008756967584372,0.0088200995872612,0.0024592844254589,0.0024059884387975,0.0024646821481244,0.0331702028270577,0.0749631374541781,0.0020967606366569,0.0249934896297835,-1.0
0.0474638937680866,0.0033150771935657,0.033197941158544,0.002482876020372,0.0024369225320342,0.0027295794597062,0.0906468621358657,0.3142241128028005,0.002597516567233,0.1416044063281544,-1.0
0.17026121194933,0.0173463482147218,0.0024101537794121,0.0024460872236976,0.0024484926098244,0.0023812539328675,0.0260704610028308,0.0254952161556144,0.0023973264753759,0.002384588178276,-1.0
0.1203078851381843,0.0090346489074614,0.0024066002891235,0.0024407470980038,0.0024255226224753,0.0023943090300071,0.0227037760493112,0.0247432265639969,0.0023985055834154,0.0024719951634803,-1.0
0.0446479491995247,0.0029003430420187,0.0056204049616838,0.0023995412761032,0.0023966338520134,0.0021215686222259,0.041874734468481,0.0466987627021379,0.0023944296221502,0.0211837628968268,-1.0
0.0373027131597003,0.0010671675310139,0.0085425656929787,0.0024119644951696,0.0024023719938788,0.0025108289406802,0.0794245070501144,0.2328256213239693,0.0023438359005809,0.1248122020836684,-1.0
0.1173217827107455,0.0212470393803357,0.0025966311326534,0.0024116277341721,0.0024037635434998,0.0023702281424982,0.0392657912522608,0.0138679947277375,0.0023997056299537,0.0025848947735881,-1.0
0.0049007934692568,0.002308996722741,0.0056165533433318,0.0024057426015615,0.0024352644893147,0.0113232396578876,0.0311234112195819,0.064202761837222,0.0024075723063721,0.0263198334313956,-1.0
0.016429747307604,0.0015451264682318,0.0105904210805099,0.0024172073441481,0.0024260964364118,0.0239948584295798,0.0700984522814159,0.2527926972765801,0.0024111910221163,0.1245589589597708,-1.0
0.3100099515485167,0.0681763570462281,0.0011588587806018,0.0009856694165509,0.0021936712057988,0.0120857109580386,0.1084184820655951,0.1048189025124939,0.0026766746454076,0.0141671854069272,-1.0
0.2340687106408148,0.051437404317083,0.0016837110834107,0.0021326095157075,0.0022722893841722,0.0063931957321815,0.0743407889409871,0.0207763560865186,0.0034145234716323,0.0043905517471698,-1.0
0.0146555928690105,0.0020015177356066,0.003231528922013,0.0024373479355795,0.002441951927092,0.0024559845697664,0.0152263552902216,0.0803146023053413,0.0024490204517656,0.0388165226542894,-1.0
0.0446754975248105,0.0024315810309478,0.0184245948016145,0.0024171555911843,0.0023496006025353,0.0028475040463689,0.0688640007571912,0.3197002220726884,0.0022428124568092,0.1945904195156985,-1.0
0.050653306093493,0.0284056946838283,0.0043378145673944,0.0046335239799504,0.0024559120719127,0.0053878631003476,0.0701157758118857,0.0027444619995271,0.0101834130122153,0.0010290544470054,-1.0
0.0260522595784623,0.0011844110492258,0.0082055483013551,0.0026922022950235,0.0024634318597457,0.00240850575953,0.0095371791435076,0.0528142207435007,0.0067432722712069,0.0342857032447216,-1.0
0.0478113298548135,0.0019942365224074,0.0248247336598684,0.0024485768621899,0.0024765810562677,0.002378885976048,0.0479765117783636,0.2618757075548724,0.0033598022724571,0.1721370129409313,-1.0
0.261016344925873,0.0721966305823768,0.002572324318604,0.0024635308232129,0.002494014539,0.0043391021451694,0.0333883532301433,0.0406456265495742,0.0024151246251537,0.0032495358220817,-1.0
0.2231170282205826,0.0551224102483865,0.0026100940397699,0.0024121885406878,0.0024391560418738,0.0030414957409741,0.0133623039495269,0.0119957452727196,0.0023978526265603,0.0022368559004173,-1.0
0.043519537932344,0.0021588219974475,0.0146664657777375,0.0015981595878761,0.0019412586861403,0.0039152895845984,0.0199402415827131,0.1718162083024056,0.0011608710543845,0.0311656700825527,-1.0
0.4553362955068917,0.0933826248662541,0.0050309222611921,0.001991649769842,0.0023238574379822,0.0042956235191863,0.1089778306536427,0.2628399529030206,0.0022830222151717,0.0529679627434337,-1.0
0.7148843948842207,0.1074956250292414,0.3191901886249103,0.0041778208190852,0.0027276801644905,0.0025736921771412,0.0390336877836498,0.3350480794551865,0.0180472611965083,0.1719851038530797,-1.0
0.7405355697657432,0.0844114839746954,0.1121782206944203,0.1060529774192608,0.0073793821824648,0.0024041618692887,0.0535465997420578,0.2411608886109609,0.0863537792734756,0.1547438014550758,-1.0
